Iteration	posterior	NumSpeciation	numExtinction	numMassExtinctions 
100	-828.786491864349	2	3	1
200	-836.408214436741	2	6	1
300	-838.40833952229	3	5	1
400	-838.041562255359	4	5	2
500	-846.953974668811	3	6	3
600	-842.600309702995	4	3	3
700	-845.150202952353	4	5	2
800	-832.681204396524	2	4	1
900	-829.839837184788	2	4	1
1000	-843.2584032561	4	4	1
1100	-837.154427187716	4	3	1
1200	-831.895573271208	3	3	1
1300	-846.644737163102	4	5	3
1400	-831.822745597436	3	3	2
1500	-829.91527222943	2	4	1
1600	-833.460226473858	4	3	2
1700	-828.582652791367	3	3	1
1800	-828.007734884613	4	2	1
1900	-835.685714768223	5	3	1
2000	-833.147564142512	3	4	2
2100	-829.857281995843	4	1	4
2200	-840.759901318253	3	5	2
2300	-843.645245664499	6	2	2
2400	-844.780416600395	5	4	2
2500	-827.218619748274	3	2	1
2600	-833.233046409167	5	2	1
2700	-835.170377351093	5	1	3
2800	-825.642676364699	3	2	2
2900	-830.634899265651	4	4	1
3000	-827.560829805611	2	2	1
3100	-835.917692905464	3	4	1
3200	-848.834034758903	6	5	1
3300	-837.443585135918	3	3	2
3400	-836.985451768371	4	4	2
3500	-848.815046043194	8	3	2
3600	-832.121659439477	6	2	1
3700	-855.391320374769	8	4	3
3800	-876.507511299691	10	6	1
3900	-836.380446488804	4	4	2
4000	-840.626119212421	5	4	1
4100	-868.211555946069	8	6	1
4200	-832.4405081681	5	2	1
4300	-833.779518042872	4	3	1
4400	-841.515992201756	6	3	1
4500	-823.429945475832	3	1	2
4600	-836.32319067246	5	2	1
4700	-840.903962837444	4	3	2
4800	-830.840129205675	5	1	1
4900	-830.207777981725	3	2	2
5000	-846.469086621266	5	5	1
5100	-841.554286835401	3	5	2
5200	-831.71185576291	4	2	2
5300	-842.297097638754	5	3	2
5400	-847.481482585828	7	3	1
5500	-838.080727230687	4	4	1
5600	-854.002195176257	9	4	1
5700	-848.26876815221	7	4	2
5800	-818.823397328738	3	1	1
5900	-826.872558315418	4	2	1
6000	-831.538162565957	3	1	4
6100	-827.536398139346	4	1	3
6200	-849.667435337161	5	5	4
6300	-824.726209703291	3	2	2
6400	-846.322470437491	6	5	1
6500	-825.141089292977	3	2	1
6600	-840.646494507413	6	2	1
6700	-859.029430606991	9	2	3
6800	-849.495302772889	4	6	2
6900	-843.424129721738	6	3	1
7000	-840.405072375253	7	1	1
7100	-823.066116352549	3	2	1
7200	-836.271243685652	4	3	2
7300	-834.563670690415	3	3	2
7400	-854.132751164322	4	7	1
7500	-845.914435159484	7	2	2
7600	-834.121055429656	6	2	1
7700	-836.25495993052	5	3	1
7800	-826.46582578653	3	2	1
7900	-837.507674229567	4	4	1
8000	-827.779676987851	4	2	1
8100	-834.405328178418	5	2	1
8200	-838.339444407052	4	4	1
8300	-830.322592073124	3	3	1
8400	-838.227169588473	5	3	1
8500	-845.656454211069	4	6	1
8600	-841.983487197677	4	4	2
8700	-834.129379954202	3	2	3
8800	-839.408775570358	4	4	1
8900	-826.827790401639	2	3	2
9000	-825.911705549354	4	2	2
9100	-833.421639205236	4	4	1
9200	-823.073722557941	3	2	1
9300	-844.096742966856	3	5	3
9400	-847.408589504265	4	6	2
9500	-835.740444466638	5	1	1
9600	-822.959401642487	3	1	1
9700	-823.214045152461	3	1	2
9800	-833.526601202645	4	3	1
9900	-830.232326203525	4	1	1
10000	-828.38502533617	4	3	1
10100	-835.086117209037	3	3	3
10200	-823.512443131947	3	1	2
10300	-825.76344809317	4	1	3
10400	-847.70575323781	5	4	2
10500	-835.371584075743	3	4	2
10600	-853.201648546313	4	5	4
10700	-843.984681061567	4	5	2
10800	-826.630113180998	2	3	1
10900	-825.367454866285	2	3	1
11000	-828.259039789198	2	3	1
11100	-864.476703939692	5	8	3
11200	-837.160473056399	3	5	2
11300	-847.918983500056	4	5	2
11400	-833.539225416739	3	4	2
11500	-827.690451729675	2	3	1
11600	-825.689441354612	3	2	2
11700	-825.398202179342	2	3	1
11800	-834.504224744204	4	3	1
11900	-828.800103904718	3	1	1
12000	-839.9480187094	6	3	2
12100	-823.228145544347	3	2	1
12200	-846.015417178976	6	4	2
12300	-821.645170496039	3	2	1
12400	-831.23444295293	3	2	2
12500	-845.648165759655	5	4	1
12600	-823.783975558699	3	2	1
12700	-832.544039359245	5	1	2
12800	-841.779544644487	3	5	2
12900	-826.514121461039	3	3	1
13000	-838.645889927286	3	5	1
13100	-829.296550726746	3	2	3
13200	-820.725651308914	3	1	2
13300	-826.303556280133	3	2	2
13400	-849.833877727664	6	4	2
13500	-843.906989309902	5	2	3
13600	-820.808024581658	2	2	1
13700	-839.419168843332	4	4	2
13800	-837.796867572769	5	4	1
13900	-844.698431831979	5	4	5
14000	-839.09941754761	5	3	3
14100	-835.433071764333	4	3	3
14200	-847.887182670749	7	3	2
14300	-834.271865764902	4	2	2
14400	-853.642829509887	9	3	1
14500	-851.183795062735	6	6	1
14600	-851.827457012602	9	2	2
14700	-845.301402703702	6	2	2
14800	-835.10223845949	6	1	1
14900	-837.700039671581	6	2	2
15000	-834.84669527746	6	2	1
15100	-850.921984508422	9	2	2
15200	-830.680509727973	6	1	2
15300	-842.743987313763	7	1	3
15400	-836.885393907013	6	1	4
15500	-856.404113926955	10	2	2
15600	-831.484869797349	4	1	3
15700	-846.357134422301	5	3	3
15800	-860.620235669383	8	4	2
15900	-830.619316407551	3	3	2
16000	-830.544612293194	3	1	2
16100	-825.668312740744	3	2	2
16200	-854.047027068353	7	2	2
16300	-842.618016419434	4	4	2
16400	-853.11612119848	6	5	1
16500	-850.257079931792	5	5	2
16600	-834.935386014615	2	5	2
16700	-825.73631878094	4	2	1
16800	-827.405483821937	3	1	3
16900	-820.731460557045	2	2	2
17000	-822.401281643787	2	3	1
17100	-838.603881208129	2	4	2
17200	-833.783851697924	4	3	2
17300	-847.323306688048	5	1	5
17400	-842.701497881296	3	5	4
17500	-840.771991729512	5	3	2
17600	-823.542691062948	3	3	1
17700	-822.277614729373	3	2	1
17800	-843.025269186911	5	6	1
17900	-826.456863231105	3	3	2
18000	-829.524324858227	3	3	1
18100	-836.656217753355	4	3	2
18200	-837.246492663633	5	2	2
18300	-826.221806805315	2	2	2
18400	-826.196513690828	2	1	2
18500	-838.094774012389	5	1	1
18600	-833.353506064801	4	2	1
18700	-837.610265021201	2	4	2
18800	-842.00433015791	4	5	1
18900	-840.667019034427	4	2	3
19000	-842.977110828994	5	3	1
19100	-850.695313997684	3	7	2
19200	-854.654599585825	6	6	2
19300	-835.437272342948	3	5	1
19400	-827.436739542862	4	2	1
19500	-849.981467055166	6	3	3
19600	-830.901878954407	5	1	2
19700	-830.723063501724	4	2	2
19800	-834.363535620419	3	2	3
19900	-832.507545463792	3	4	1
20000	-845.85217652997	4	5	1
20100	-834.82130677149	2	2	4
20200	-828.540715094979	3	2	1
20300	-841.252355556372	3	4	3
20400	-825.26617344396	2	2	2
20500	-835.401109895764	5	3	2
20600	-840.858478180171	6	3	2
20700	-841.353571089468	4	5	1
20800	-848.257105782594	6	3	2
20900	-833.381899495045	3	5	2
21000	-846.296043888979	5	6	1
21100	-833.712204764957	3	4	2
21200	-845.432894546739	5	5	3
21300	-824.06267004439	4	1	1
21400	-832.531077182107	4	2	2
21500	-847.699306956035	8	1	1
21600	-834.829839057604	4	3	2
21700	-844.659123325487	5	3	2
21800	-831.535085839332	5	2	1
21900	-843.406786657169	5	3	4
22000	-851.65779855121	8	4	1
22100	-850.097164342826	7	3	3
22200	-836.809027649849	5	3	1
22300	-826.452881680318	3	2	1
22400	-829.033865499237	3	1	2
22500	-852.789617127616	6	3	3
22600	-834.924331381798	6	1	1
22700	-835.570181693063	4	4	1
22800	-830.163628965552	3	3	3
22900	-831.471608444622	5	1	1
23000	-837.845129251243	6	4	0
23100	-834.597741652239	4	5	0
23200	-823.305007011958	3	2	0
23300	-826.403378926606	3	1	0
23400	-829.961043745851	3	3	0
23500	-855.211701525502	6	5	1
23600	-851.152622647069	7	4	0
23700	-824.891366302368	2	3	0
23800	-839.931148433003	6	3	1
23900	-827.645445765144	4	2	0
24000	-821.051793637464	2	2	0
24100	-817.187973662153	2	2	0
24200	-825.257670572423	3	3	2
24300	-821.77697138312	2	4	1
24400	-830.637138455563	3	4	1
24500	-837.008026427323	4	5	0
24600	-817.649413755306	2	2	0
24700	-833.955589795204	4	5	1
24800	-851.069668498802	5	7	0
24900	-829.416175697384	4	4	0
25000	-838.364334514642	6	3	1
25100	-824.892957219531	3	3	0
25200	-825.340053666603	3	3	1
25300	-821.210656909695	2	3	0
25400	-826.952425156691	2	3	1
25500	-836.501563095685	4	5	1
25600	-833.97512054739	3	5	1
25700	-833.025686560691	4	4	0
25800	-833.523924052995	2	5	1
25900	-826.509479524581	3	3	0
26000	-833.207383692923	2	6	1
26100	-827.104154081772	4	3	0
26200	-825.656908787584	3	3	0
26300	-832.11239320807	4	4	1
26400	-827.815119865453	4	2	0
26500	-826.720390974682	4	2	0
26600	-834.708543851938	7	2	0
26700	-823.86409127813	3	3	0
26800	-829.201490517556	3	3	0
26900	-852.165309468318	7	4	0
27000	-833.551821637546	5	2	0
27100	-826.271117937491	2	3	0
27200	-825.18335666129	3	2	1
27300	-830.272085907466	3	4	0
27400	-838.330112018884	2	6	1
27500	-822.909077975217	3	3	1
27600	-835.213496076697	3	5	1
27700	-839.777748107097	3	6	0
27800	-822.835371483817	2	4	1
27900	-836.29790191376	3	5	1
28000	-842.615316914569	4	6	0
28100	-831.249798040671	3	4	1
28200	-848.346039373258	6	6	0
28300	-832.5892113479	3	3	2
28400	-844.691790535991	5	6	0
28500	-833.806066615611	5	3	1
28600	-838.238586802997	3	5	1
28700	-825.867076275529	2	5	0
28800	-820.267913733424	2	2	0
28900	-833.11595376325	3	5	1
29000	-828.637406571683	3	4	1
29100	-842.196073658895	5	5	1
29200	-819.391654272147	3	2	0
29300	-835.987331895786	4	4	0
29400	-826.649489933025	4	2	0
29500	-828.655798915566	5	2	0
29600	-827.528812938568	3	4	0
29700	-825.283593462815	3	3	0
29800	-836.902166201365	3	6	0
29900	-832.659697412894	2	6	1
30000	-826.647293393366	2	3	0
30100	-845.453649854831	5	5	1
30200	-839.169256595111	4	5	0
30300	-828.604149442824	3	4	0
30400	-823.666097571193	4	1	1
30500	-840.067723700301	5	4	0
30600	-842.055861259204	6	3	1
30700	-843.580180891554	5	5	1
30800	-834.305944339756	5	4	0
30900	-828.680262899213	4	4	2
31000	-819.701916570721	4	1	0
31100	-833.423595194184	4	5	1
31200	-830.173359787084	4	3	0
31300	-834.764308915817	3	5	0
31400	-831.757465531791	6	2	0
31500	-831.802062371971	3	4	0
31600	-818.020367193978	3	1	0
